,Date,Open,High,Low,Close,Adj Close,Volume,adjustRatio,Label
4630,2022-08-31,139.25,139.34,128.4,137.68,128.45,3490400,1.07,0
4631,2022-09-01,137.62,139.15,127.74,138.97,129.66,3396200,1.07,0
4632,2022-09-02,139.67,139.95,127.24,136.98,127.79,3040600,1.07,0
4633,2022-09-06,136.99,137.27,126.3,135.83,126.72,3347100,1.07,1
4634,2022-09-07,135.79,137.06,126.28,136.88,127.71,2401500,1.07,0
4635,2022-09-08,136.34,137.77,126.59,137.7,128.47,2964600,1.07,0
4636,2022-09-09,138.16,138.79,128.06,138.47,129.19,3291900,1.07,0
4637,2022-09-12,139.7,140.4,129.89,140.05,130.66,3741100,1.07,2
4638,2022-09-13,138.42,139.24,126.77,136.39,127.25,4565600,1.07,0
4639,2022-09-14,136.66,138.27,126.85,136.87,127.69,3819100,1.07,0
4640,2022-09-15,136.54,136.63,124.9,134.5,125.49,5141700,1.07,0
4641,2022-09-16,133.29,136.69,123.83,136.41,127.27,9839700,1.07,0
4642,2022-09-19,135.58,137.26,126.28,136.9,127.73,3981600,1.07,0
4643,2022-09-20,136.02,136.12,125.52,135.38,126.3,2837500,1.07,0
4644,2022-09-21,136.01,137.03,124.92,133.91,124.93,3389500,1.07,0
4645,2022-09-22,133.72,135.6,124.41,134.31,125.31,4046600,1.07,0
4646,2022-09-23,133.48,133.99,121.74,131.53,122.71,5195600,1.07,0
4647,2022-09-26,131.09,133.19,121.75,130.78,122.01,3987800,1.07,0
4648,2022-09-27,131.41,132.86,121.08,130.49,121.74,4117200,1.07,0
4649,2022-09-28,130.39,132.09,119.81,131.58,122.76,4996400,1.07,0
4650,2022-09-29,130.6,131.43,120.57,130.37,121.63,3817700,1.07,0
4651,2022-09-30,130.41,131.23,118.61,127.35,118.81,5346100,1.07,1
4652,2022-10-03,128.8,131.0,119.6,130.25,121.51,4261700,1.07,0
4653,2022-10-04,131.62,134.67,122.52,134.51,125.5,4566100,1.07,0
4654,2022-10-05,133.67,135.55,124.23,134.78,125.74,3212900,1.07,2
4655,2022-10-06,133.85,134.3,121.77,131.01,122.23,5074600,1.07,0
4656,2022-10-07,130.24,130.56,118.07,127.36,118.82,4499700,1.07,0
4657,2022-10-10,128.39,128.58,117.04,126.21,117.75,5990000,1.07,0
4658,2022-10-11,125.9,127.8,116.94,126.27,117.8,4043100,1.07,0
4659,2022-10-12,126.48,127.35,117.2,126.02,117.57,3338800,1.07,1
4660,2022-10-13,124.45,130.93,115.55,130.55,121.79,5837500,1.07,0
4661,2022-10-14,130.56,131.35,119.84,128.67,120.04,3762400,1.07,0
4662,2022-10-17,130.56,131.71,121.43,130.26,121.52,5458600,1.07,0
4663,2022-10-18,131.84,132.84,121.82,131.77,122.94,5120300,1.07,0
4664,2022-10-19,131.15,132.84,121.99,131.31,122.51,5906600,1.07,0
4665,2022-10-20,135.32,138.23,125.15,137.52,128.3,13623100,1.07,0
4666,2022-10-21,137.62,140.25,127.59,139.24,129.9,7201300,1.07,0
4667,2022-10-24,140.31,142.68,129.85,142.23,132.69,5610900,1.07,0
4668,2022-10-25,141.48,142.88,131.3,142.48,132.93,5957600,1.07,0
4669,2022-10-26,143.33,145.62,132.81,144.71,135.01,5139000,1.07,0
4670,2022-10-27,145.3,146.21,134.45,144.46,134.77,3993200,1.07,0
4671,2022-10-28,145.31,148.84,135.22,148.47,138.51,5965500,1.07,2
4672,2022-10-31,147.98,148.74,136.6,148.23,138.29,4915300,1.07,0
4673,2022-11-01,148.19,148.62,136.7,148.14,138.2,3590600,1.07,0
4674,2022-11-02,147.64,150.24,136.8,146.66,136.83,5360500,1.07,0
4675,2022-11-03,146.23,146.29,133.97,144.14,134.47,4442400,1.07,1
4676,2022-11-04,145.4,147.62,134.94,146.8,136.96,4178000,1.07,0
4677,2022-11-07,146.47,148.67,136.51,148.29,138.34,4043100,1.07,0
4678,2022-11-08,148.99,151.06,138.72,150.1,140.04,5042800,1.07,0
4679,2022-11-09,146.12,147.12,136.94,145.52,137.39,4720000,1.06,0
4680,2022-11-10,148.57,149.75,138.29,149.6,141.23,5389000,1.06,0
4681,2022-11-11,149.89,152.67,140.96,151.65,143.17,5871300,1.06,0
4682,2022-11-14,151.07,154.73,142.18,152.74,144.2,5293500,1.06,0
4683,2022-11-15,152.61,154.82,142.0,152.89,144.34,4727100,1.06,0
4684,2022-11-16,152.67,153.53,144.01,153.08,144.52,3445200,1.06,0
4685,2022-11-17,151.91,154.84,143.25,154.74,146.09,3954000,1.06,0
4686,2022-11-18,155.25,157.1,145.94,156.39,147.64,4661700,1.06,0
4687,2022-11-21,156.29,156.69,146.45,155.37,146.68,3476200,1.06,0
4688,2022-11-22,156.35,158.2,147.02,157.93,149.1,7062100,1.06,2
4689,2022-11-23,157.93,159.37,148.3,157.56,148.75,3658200,1.06,0
4690,2022-11-25,157.06,158.35,148.1,157.16,148.37,2075200,1.06,0
4691,2022-11-28,156.74,157.02,145.94,154.83,146.18,3538100,1.06,1
4692,2022-11-29,154.55,155.89,145.7,155.17,146.49,2754700,1.06,0
4693,2022-11-30,154.85,158.51,145.67,157.72,148.9,6377600,1.06,0
4694,2022-12-01,158.86,158.89,147.34,157.99,149.16,4495900,1.06,2
4695,2022-12-02,156.9,157.99,147.73,157.47,148.67,2900000,1.06,0
4696,2022-12-05,156.7,157.75,146.8,156.14,147.41,2784600,1.06,0
